,Unnamed: 0,index,Title,Director,Cast,Genre,comb
0,0,0,Aaj Ka Arjun,K.C. Bokadia,"Amitabh Bachchan, Jayapradha","['Action', 'Crime', 'Drama', 'Action Crime Drama']",KC Bokadia Action Crime Drama Action Crime Drama Amitabh Bachchan Jayapradha Aaj Ka Arjun
1,1,1,Aag Ka Dariya,S.V. Rajendra Singh,"Dilip Kumar, Rekha, Padmini Kolhapure, Amrita Singh","['Action', 'Action']",SV Rajendra Singh Action Action Dilip Kumar Rekha Padmini Kolhapure Amrita Singh Aag Ka Dariya
2,2,2,Aag Ka Gola,David Dhawan,"Sunny Deol, Dimple Kapadia, Archana Puran Singh","['Action', 'Drama', 'Action Drama']",David Dhawan Action Drama Action Drama Sunny Deol Dimple Kapadia Archana Puran Singh Aag Ka Gola
3,3,3,Aaj Ke Shahenshah,Shibu Mitra,"Raj Babbar, Jeetendra, Kimi Katkar","['Action', 'Action']",Shibu Mitra Action Action Raj Babbar Jeetendra Kimi Katkar Aaj Ke Shahenshah
4,4,4,Aandhiyan,David Dhawan,"Shatrughan Sinha, Mumtaz, Prosenjit Chatterjee","['Drama', 'Drama']",David Dhawan Drama Drama Shatrughan Sinha Mumtaz Prosenjit Chatterjee Aandhiyan
5,5,5,Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Agarwal, Tom Alter","['Musical', 'Drama', 'Romance', 'Musical Drama Romance']",Mahesh Bhatt Musical Drama Romance Musical Drama Romance Rahul Roy Anu Agarwal Tom Alter Aashiqui
6,6,6,Agneekaal, Mustan Burmawalla,"Sadashiv Amrapurkar, Tinnu Anand, Raj Babbar","['Action', 'Crime', 'Drama', 'Action Crime Drama']", Mustan Burmawalla Action Crime Drama Action Crime Drama Sadashiv Amrapurkar Tinnu Anand Raj Babbar Agneekaal
7,7,7,Agneepath,Mukul S. Anand,"Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari, Danny Denzongpa, Biswa Roy","['Action', 'Drama', 'Action Drama']",Mukul S Anand Action Drama Action Drama Amitabh Bachchan Mithun Chakraborty Madhavi Neelam Kothari Danny Denzongpa Biswa Roy Agneepath
8,8,8,Amba,Mohan Kumar,"Shabana Azmi, Anil Kapoor, Meenakshi Sheshadri","['Family', 'Family']",Mohan Kumar Family Family Shabana Azmi Anil Kapoor Meenakshi Sheshadri Amba
9,9,9,Amiri Garibi,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor","['Family', 'Family']",Harmesh Malhotra Family Family Jeetendra Rekha Rishi Kapoor Amiri Garibi
10,10,10,Amavas Ki Raat,Mohan Bhakri,"Kunika, Kiran Kumar, Javed Khan","['Horror', 'Horror']",Mohan Bhakri Horror Horror Kunika Kiran Kumar Javed Khan Amavas Ki Raat
11,11,11,Andher Gardi,Ashok Tyagi,Kimi Katkar,"['Action', 'Drama', 'Action Drama']",Ashok Tyagi Action Drama Action Drama Kimi Katkar Andher Gardi
